CODPROV,CODIGO,PRODUCTO,PRESENTACION,STOCK,MAYORISTA,CONTADO,MINORISTA,PRECIO COMPRA,RUBRO,SUBRUBRO
12597,0006525RPM,FOCO TABLERO CON PORTALAMPARA NEGRO PHILIPS,UNIDADES,5,5400,6000,8400,3000,ELECTRICIDAD,NINGUNO
12625,0006521RPM,FOCO TABLERO CON PORTALAMPARA PHILIPS,UNIDADES,9,5400,6000,8400,3000,ELECTRICIDAD,NINGUNO
12603,0006522RPM,FOCO TABLERO CON PORTALAMPARA PHILIPS,UNIDADES,3,5400,6000,8400,3000,ELECTRICIDAD,NINGUNO
12598,0006523RPM,FOCO TABLERO CON PORTALAMPARA PHILIPS,UNIDADES,2,1000,"1200,01","1680,01",662,ELECTRICIDAD,NINGUNO
6410,0006532RPM,FOCO TUBULAR 28MM 5W OSRAM,UNIDADES,10,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
6428,0006528RPM,FOCO TUBULAR 32MM 3W OSRAM,UNIDADES,9,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
12844,0006527RPM,FOCO TUBULAR 38MM 5W OSRAM,UNIDADES,0,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
6418,0006531RPM,FOCO TUBULAR 38MM 5W OSRAM,UNIDADES,19,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
12866,0006530RPM,FOCO TUBULAR 39MM 10W OSRAM,UNIDADES,16,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
6411,0006529RPM,FOCO TUBULAR 41MM 10W OSRAM,UNIDADES,2,1620,2000,2800,900,ELECTRICIDAD,NINGUNO
,0005187RPM,FORD ECOSPORT KINECTIC 2012,UNIDADES,0,0,"6316,95","8843,73","1243,38",CUBRE CARTER,NINGUNO
TS0040500FQ,0006754RPM,FORMULE CONQUEST TOXIC SHINE LIMPIADOR DESENGRASANTE DE LLANTAS Y MOTORES 600 ML,UNIDADES,2,6800,7500,"10500,03","5003,35",COSMETICA,NINGUNO
381324,0005566RPM,FRANELA TRIPLE FRISADO 45X50CM MEDIA NARANJA,UNIDADES,0,66,"228,33","319,66",36,COSMETICA,NINGUNO
VWL-7161,0005397RPM,FRENDE ADAPTADOR VW GOL TREND 5TA GEN NEGRO 2 DIN,UNIDADES,0,"3714,48","10195,29","14273,41",2010,FRENTE ADPTADOR,NINGUNO
BKTOYK980,0002215RPM,FRENTE ADAPTADOR 1 DIN 2007-2008 TOYOTA CAMRY,UNIDADES,1,46500,50000,70000,30000,FRENTE ADPTADOR,NINGUNO
1020,0003412RPM,FRENTE ADAPTADOR 1 DIN AMAROK CON GUARDA OBJETO,UNIDADES,3,"41243,2","44998,91","62998,99",25777,FRENTE ADPTADOR,NINGUNO
ST-958,0000697RPM,FRENTE ADAPTADOR 1 DIN FORD FOCUS 07 SILVER,UNIDADES,0,40800,"43998,72","61599,84",27200,FRENTE ADPTADOR,NINGUNO
ST-861,0002765RPM,FRENTE ADAPTADOR 1 DIN FORD KA 2009,UNIDADES,1,23250,"24999,95","35000,55",15500,ACCESORIOS,NINGUNO
ST-871,0003529RPM,FRENTE ADAPTADOR 1 DIN GAVETA ECOSPORT/BORA,UNIDADES,2,25600,29000,40600,16000,FRENTE ADPTADOR,NINGUNO
ST-807,7898253498261,"FRENTE ADAPTADOR 2 DIN 7"" VENTO/AMAROK /TIGUAN/NVO PASSAT",UNIDADES,7,43000,45000,"64401,29",26900,ACCESORIOS,NINGUNO
8272,0004313RPM,FRENTE ADAPTADOR 2 DIN AUDI A3,UNIDADES,0,"94561,5","100997,99","141400,96",63041,FRENTE ADPTADOR,NINGUNO
8406,ST-962,FRENTE ADAPTADOR 2 DIN BORA / POLO / GOLF / PASSAT / ECOSPORT / 307 ST-962,UNIDADES,4,33600,35700,49980,21000,FRENTE ADPTADOR,NINGUNO
8281,0007156RPM,FRENTE ADAPTADOR 2 DIN CHEVROLET S10 16 / 19,UNIDADES,1,"273029,73",292000,408800,"182019,82",ACCESORIOS,NINGUNO
7572,0005406RPM,FRENTE ADAPTADOR 2 DIN CITROEN C3,UNIDADES,1,56265,"60098,52","84138,68",37510,FRENTE ADPTADOR,NINGUNO
ST-859,0004928RPM,FRENTE ADAPTADOR 2 DIN COROLLA 03/06,UNIDADES,1,17600,19800,27720,11000,ACCESORIOS,NINGUNO
ST-842,0000698RPM,FRENTE ADAPTADOR 2 DIN FIESTA/TRANSIT,UNIDADES,4,18448,"19999,94","27999,45",11530,ACCESORIOS,NINGUNO
7775,0005395RPM,"FRENTE ADAPTADOR 2 DIN GOLVI,GOLG6, VOYAGE, SAVEIRO",UNIDADES,2,"112348,5","120003,18","167998,46",74899,FRENTE ADPTADOR,NINGUNO
7746 7201P,0005281RPM,FRENTE ADAPTADOR 2 DIN KA/FOCUS/ESCORT/RANGER/F250,UNIDADES,2,54000,"57999,6","81201,6",36000,FRENTE ADPTADOR,NINGUNO
7773,0005157RPM,FRENTE ADAPTADOR 2 DIN PALIO 2012 / 2013 NEGRO,UNIDADES,1,97500,104000,145600,65000,FRENTE ADPTADOR,NINGUNO
ST-955,ST-955,FRENTE ADAPTADOR 2 DIN PEUGEOT 308 2007/2009,UNIDADES,1,126000,"134996,4",189000,84000,FRENTE ADPTADOR,NINGUNO
7667 ST-844,0005654RPM,FRENTE ADAPTADOR 2 DIN TOYOTA HILUX/SW4 (DOS PALITOS),UNIDADES,5,13500,"15000,3","20999,7",9000,FRENTE ADPTADOR,NINGUNO
ST-830,0007179RPM,FRENTE ADAPTADOR AUDI A2 A3 A6 A8 TT,UNIDADES,1,34500,"37000,1","51800,6",23000,ACCESORIOS,NINGUNO
ST-833,0004311RPM,FRENTE ADAPTADOR AUDI A3 03,UNIDADES,1,"47939,96","51998,87","72798,42","31959,97",FRENTE ADPTADOR,NINGUNO
ST-834,0005392RPM,FRENTE ADAPTADOR AUDI A3 03 (DOS PALITOS),UNIDADES,1,"37500,01",40000,56000,25000,FRENTE ADPTADOR,NINGUNO
ST-832,0004310RPM,FRENTE ADAPTADOR AUDI A4,UNIDADES,1,37500,40000,56000,25000,FRENTE ADPTADOR,NINGUNO
ST-831,0007180RPM,FRENTE ADAPTADOR AUDI A4 94/98 TT,UNIDADES,1,34500,36800,51520,23000,ACCESORIOS,NINGUNO
ST-877,0007884RPM,FRENTE ADAPTADOR AVEO/CAPTIVA,UNIDADES,2,60663,"64998,38","90998,54",40442,ACCESORIOS,NINGUNO
ST-836,0004444RPM,FRENTE ADAPTADOR BMW SERIE 3-E-46,UNIDADES,1,37500,40000,56000,25000,FRENTE ADPTADOR,NINGUNO
7063,7893296070634,FRENTE ADAPTADOR CHEROKEE / STRATUS / NEON / DAKOTA 00 - 01,UNIDADES,1,64251,"69001,29","96599,24",42834,FRENTE ADPTADOR,NINGUNO
MRCE001,0007278RPM,FRENTE ADAPTADOR CHERY TIGGO DOBLE DIN,UNIDADES,1,36300,"39000,72","54600,04",24200,FRENTE ADPTADOR,NINGUNO
ST-846,0004971RPM,FRENTE ADAPTADOR CHRYSLER NEON BG-84,UNIDADES,1,16500,17600,24640,11000,ACCESORIOS,NINGUNO
ST-806,0002764RPM,FRENTE ADAPTADOR CITROEN BERLINGO,UNIDADES,1,37500,40000,56000,25000,ACCESORIOS,NINGUNO
7779,0005266RPM,FRENTE ADAPTADOR CROSSFOX 2013/14 GRIS,UNIDADES,1,"165709,5","176756,8","247459,52",110473,FRENTE ADPTADOR,NINGUNO
7778,0005265RPM,FRENTE ADAPTADOR CROSSFOX 2013/14 NEGRO,UNIDADES,1,"165709,5","176999,84","247801,99",110473,FRENTE ADPTADOR,NINGUNO
ST-4116,0007783RPM,"FRENTE ADAPTADOR DOBLE DIN 9"" UNIVERSAL",UNIDADES,2,"44633,51","51009,73","71413,62","31881,08",FRENTE ADPTADOR,NINGUNO
ST-4001,0007782RPM,"FRENTE ADAPTADOR DOBLE DIN DE 9"" A 7""",UNIDADES,2,"13671,06","15085,31","21119,44","9428,32",FRENTE ADPTADOR,NINGUNO
7041,0002191RPM,FRENTE ADAPTADOR FIAT PALIO- SIENA CON RELOJ,UNIDADES,8,"28096,2","29999,25","42000,07","18730,8",AUDIO,NINGUNO
ST-804,0002192RPM,FRENTE ADAPTADOR FIAT PUNTO 1 DIN,UNIDADES,2,19500,"21000,2","29399,5",13000,ACCESORIOS,NINGUNO
FP-FI009,0004493RPM,FRENTE ADAPTADOR FIAT PUNTO 1 DIN LINEA MAREA,UNIDADES,1,21600,"24000,48","33599,52",14400,FRENTE ADPTADOR,NINGUNO
7771,0005167RPM,FRENTE ADAPTADOR FOCUS 2009 - 2014 NEGRO DOBLE DIN,UNIDADES,1,92565,"99001,35","138600,66",61710,FRENTE ADPTADOR,NINGUNO
7483 / 7013,0002190RPM,FRENTE ADAPTADOR FORD ESCORT 97,UNIDADES,1,14400,16000,22400,8000,ACCESORIOS,NINGUNO
7488,0001081RPM,FRENTE ADAPTADOR FORD FOCUS - MONDEO,UNIDADES,1,18600,"20000,4","27999,6",12000,FRENTE ADPTADOR,NINGUNO
7045,0005390RPM,FRENTE ADAPTADOR FORD KA 00,UNIDADES,3,19800,22000,30800,11000,FRENTE ADPTADOR,NINGUNO
7047,0002185RPM,FRENTE ADAPTADOR FORD KA 2000,UNIDADES,4,19800,22000,30800,11000,COSMETICA,NINGUNO
1255,0002197RPM,FRENTE ADAPTADOR FORD KA 2008 1/2 DIN,UNIDADES,1,15000,16000,22400,10000,ACCESORIOS,NINGUNO
ST-829,0002181RPM,FRENTE ADAPTADOR GAVETA TOYOTA HILUX UNIVERSAL,UNIDADES,4,23250,"24999,95","35000,55",15500,FRENTE ADPTADOR,NINGUNO
7038,0006431RPM,FRENTE ADAPTADOR GRAN CHEROKEE DAKOTA NEON 99,UNIDADES,1,18513,"20000,21","28000,3",12342,FRENTE ADPTADOR,NINGUNO
ST-952,0002766RPM,FRENTE ADAPTADOR HONDA CITY 2 DIN,UNIDADES,1,231000,246400,344960,154000,ACCESORIOS,NINGUNO
997873,0004294RPM,FRENTE ADAPTADOR HONDA CRV / COROLLA +06,UNIDADES,0,51150,"55000,01","77000,01",33000,FRENTE ADPTADOR,NINGUNO
7082,0003772RPM,FRENTE ADAPTADOR HONDA FIT,UNIDADES,3,61500,65600,91840,41000,AUDIO,NINGUNO
BKCDK636,0002212RPM,FRENTE ADAPTADOR JEEP CHEROKEE 99/04 /DODGE CHRYSLER,UNIDADES,1,"13950,01","14999,99","20999,99",9000,ACCESORIOS,NINGUNO
ST-886,0007188RPM,FRENTE ADAPTADOR MERCEDES BENZ SPRINTER,UNIDADES,2,46500,"49600,01","69440,01",31000,ACCESORIOS,NINGUNO
7575,0005991RPM,FRENTE ADAPTADOR MOLDURA 2 DIN PARA DUSTER SANDERO LOGAN OROCH NEGRO,UNIDADES,1,55539,60000,84000,37026,FRENTE ADPTADOR,NINGUNO
ST-841,0005389RPM,FRENTE ADAPTADOR MONDEO 2004,UNIDADES,1,25800,"28000,01","39200,01",17200,FRENTE ADPTADOR,NINGUNO
7484 / COD 89/E1,7898253497103,FRENTE ADAPTADOR PALIO 2 GENERACION,UNIDADES,3,24000,26000,36400,16000,FRENTE ADPTADOR,NINGUNO
7046,0004149RPM,FRENTE ADAPTADOR PALIO EX/ED C/VISOR 1 DIN,UNIDADES,8,34500,36800,51520,23000,AUDIO,NINGUNO
8276,0007254RPM,FRENTE ADAPTADOR PALIO GRAN SIENA DOBLE DIN GRAFITO,UNIDADES,1,"223800,39",240000,336000,"149200,26",FRENTE ADPTADOR,NINGUNO
ST-848,0006238RPM,FRENTE ADAPTADOR PEUGEOT 107,UNIDADES,1,"13499,99","14999,99","20999,99",9000,FRENTE ADPTADOR,NINGUNO
ST-854,0003773RPM,FRENTE ADAPTADOR SCENIC / MEGANE,UNIDADES,4,33000,35200,49280,22000,FRENTE ADPTADOR,NINGUNO
7112,0000991RPM,FRENTE ADAPTADOR SCENIC / RENAULT MEGANE I/FASE II 1 DIN,UNIDADES,2,23100,24500,34300,15400,FRENTE ADPTADOR,NINGUNO
ST-850,0002194RPM,FRENTE ADAPTADOR SEAT LEON TOLEDO,UNIDADES,2,17050,18000,25200,11000,FRENTE ADPTADOR,NINGUNO
ST-849,0003578RPM,FRENTE ADAPTADOR SUZUKI GRAND VITARA,UNIDADES,1,38700,41300,57820,25800,AUDIO,NINGUNO
ST-981,0006886RPM,FRENTE ADAPTADOR TOYOTA COROLLA 2015,UNIDADES,1,"201052,5",215000,301000,134035,ACCESORIOS,NINGUNO
7968,0002179RPM,FRENTE ADAPTADOR TOYOTA COROLLA HILUX LINEAS VIEJA 1 DIN,UNIDADES,2,24000,26000,"36399,99",16000,FRENTE ADPTADOR,NINGUNO
BG-805-ST-805,0002282RPM,FRENTE ADAPTADOR VW TOUREG,UNIDADES,1,"51299,99","55000,01","77000,01",34200,FRENTE ADPTADOR,NINGUNO
MCH,0004495RPM,FRENTE MARCO DE CHAPA NEGRO ESTEREO 1 DIN,UNIDADES,0,4785,5280,7392,3300,AUDIO,NINGUNO
TTS005621FT,0006769RPM,FRUTY CREAM TOXIC SHINE ACONDICIONADOR DE PLASTICOS INTERIOR Y EXTERIOR . RESTAURA EL COLOR 600 ML,UNIDADES,0,10900,"11999,91","16800,04","8052,55",COSMETICA,NINGUNO
,0007157RPM,FUENTE STETSOM 200A,UNIDADES,0,884752,900000,1260000,552970,ACCESORIOS,NINGUNO
530540,0007153RPM,FUENTE USINA 200 AMP,UNIDADES,0,600000,"650000,7","909999,6",23000,AUDIO,NINGUNO
,0006332RPM,FUNDA AFB BUTACON TRASERO Y DELANTERO,UNIDADES,1,32000,34000,47600,20000,FUNDAS,NINGUNO
,0006330RPM,FUNDA AFB CUERO CHEVROLET AVEO AOYACABEZA POR SEPARADO,UNIDADES,0,20160,22400,31360,8000,FUNDAS,NINGUNO
AFB-ECOSPORT,0003861RPM,FUNDA AFB ESPECIFICA FORD ECOSPORT RESPALDO REPARTIDO 1/3 SIMIL CUERO NEGRA,UNIDADES,2,37500,43000,60200,25000,FUNDAS,NINGUNO
AFB-FALCON,000RPM1860,FUNDA AFB ESPECIFICA FORD FALCON S/ CUERO ASIENTO Y RESPALDO ENTERO,UNIDADES,1,37500,43000,60200,25000,FUNDAS,NINGUNO
AFBRANGER I,0007422RPM,"FUNDA AFB ESPECIFICA FORD RANGER C/SIMPLE ""I"" RESPALDO APOYACAB SEPARADO ASIENTO 1/3 Y APOYABRAZO",UNIDADES,1,37500,43000,60200,25000,ACCESORIOS,NINGUNO
AFB-PATAGONICA,0004764RPM,FUNDA AFB ESPECIFICA PATAGONICA R.R.(COUNTRY/COBALT)1/3 2/3 SIMIL CUERO,UNIDADES,1,37500,43000,60200,25000,FUNDAS,NINGUNO
AFB-504,0000RPM466,FUNDA AFB ESPECIFICA PEUGEOT 504 TELA COLOR NEGRO,UNIDADES,1,37500,43000,60200,25000,FUNDAS,NINGUNO
AFB-SURAN,0004772RPM,FUNDA AFB ESPECIFICA VW SURAN RESP AL MEDIO CON LOGO S/ CUERO,UNIDADES,1,37500,43000,60200,25000,FUNDAS,NINGUNO
AFB-VOYAGE,0004756RPM,FUNDA AFB ESPECIFICA VW VOYAGE SIMIL CUERO (CON LOGO),UNIDADES,1,37500,43000,60200,25000,FUNDAS,NINGUNO
AFB-ECONOMICA N,0003808RPM,FUNDA AFB UNIVERSAL INSTALADA SIMIL CUERO ECONOMICA NEGRO,UNIDADES,1,30000,35000,49000,20000,FUNDAS,NINGUNO
AFB-CITROEN,0004757RPM,FUNDA AFB UNIVERSAL SIMIL CUERO (CON LOGO) CITROEN,UNIDADES,1,30000,35000,49000,20000,FUNDAS,NINGUNO
AFB-UNIVERSAL,0001181RPM,FUNDA AFB UNIVERSAL SIMIL CUERO ASIENTO Y RESPALDO REPARTIDO,UNIDADES,5,30000,35000,49000,20000,FUNDAS,NINGUNO
AFB-UNIVERSAL,0000RPM442,FUNDA AFB UNIVERSAL SIMIL CUERO RESPALDO REPARTIDO ASIENTO ENTERO,UNIDADES,4,30000,35000,49000,20000,FUNDAS,NINGUNO
AFB-UNO,0000RPM455,FUNDA AFB UNIVERSAL/ESPECIFICA FIAT UNO 2011 TELA C/ CUERO,UNIDADES,2,30000,35000,49000,20000,FUNDAS,NINGUNO
FD-043N,0005559RPM,FUNDA ALBOCAR UNIVERSAL 100% SIMIL CUERO GRUESA COMPLETA TIPO ORIGINAL NEGRA,UNIDADES,2,"61624,7",74000,"103529,49","41083,13",FUNDAS,NINGUNO
FD-043NR,0005558RPM,FUNDA ALBOCAR UNIVERSAL 100% SIMIL CUERO GRUESA COMPLETA TIPO ORIGINAL NEGRO C/ ROJO,UNIDADES,1,"61624,7",74000,"103529,49","41083,13",FUNDAS,NINGUNO
FIEMO-RANGER,0000RPM448,FUNDA FIEMO ESPECIFICA FORD RANGER 2008 SIMIL CUERO CABINA DOBLE,UNIDADES,1,"4989,59","9562,29","13387,21",1500,FUNDAS,NINGUNO
FITTER-UNIVERSAL,0005738RPM,FUNDA FITTER 1/3 2/3 UNIVERSAL SIMIL CUERO,UNIDADES,1,72600,83000,116200,48400,FUNDAS,NINGUNO
RIÑAMA,0007649RPM,FUNDA FITTER AMAROK CUERO CON RIÑONERA NEGRA,UNIDADES,0,"140887,56","150004,35","210004,27","90895,2",ACCESORIOS,NINGUNO
FITTER-S10,0005236RPM,FUNDA FITTER ESPECIFICA CHEVROLET S10 12´ C/DOBLE BUTACAS SIMIL CUERO,UNIDADES,0,122984,130000,182000,76865,FUNDAS,NINGUNO
FITTER-IDEA,0005739RPM,FUNDA FITTER ESPECIFICA FIAT IDEA / PALIO WEEKEND SIMIL CUERO,UNIDADES,1,87120,93000,"130200,01",54450,FUNDAS,NINGUNO
FITTER-ECOSPORT,0005237RPM,FUNDA FITTER ESPECIFICA FORD ECOSPORT 2013 SIMIL CUERO,UNIDADES,0,122984,130000,182000,76865,FUNDAS,NINGUNO
FITTER-RANGERL,0005233RPM,"FUNDA FITTER ESPECIFICA FORD RANGER / UNIVERSAL C/D ""L""+2012 SIMIL CUERO",UNIDADES,2,122984,130000,182000,76865,FUNDAS,NINGUNO
FITTER-RANGERK,0005238RPM,"FUNDA FITTER ESPECIFICA FORD RANGER C/D MOD ""K"" 2005/2012 SIMIL CUERO CON APOYA BRAZO",UNIDADES,2,122984,130000,182000,76865,FUNDAS,NINGUNO
FITTER-PICKUP,0005741RPM,FUNDA FITTER ESPECIFICA PICK UP 1/3 2/3 SIMIL CUERO DELANTERA,UNIDADES,2,77440,83001,"116201,39",48400,FUNDAS,NINGUNO
FITTER-OROCH,0005740RPM,FUNDA FITTER ESPECIFICA RENAULT OROCH SIMIL CUERO,UNIDADES,0,72600,83000,116200,48400,FUNDAS,NINGUNO
FITTER-HILUX,0005235RPM,"FUNDA FITTER ESPECIFICA TOYOTA HILUX 16"" C/DOBLE RESPALDO ENTERO ASIENTOS REPARTIDOS SIMIL CUERO",UNIDADES,3,122984,130000,182000,76865,FUNDAS,NINGUNO
KENSI NEGRA,0006697RPM,FUNDA FITTER KENSI UNIVERSAL SIMIL CUERO NEGRA,UNIDADES,0,100188,107000,149800,66792,ACCESORIOS,NINGUNO
JACKARD,0006407RPM,FUNDA FITTER TELA JACKARD,UNIDADES,0,"94334,63","100999,99",141400,"62889,75",ACCESORIOS,NINGUNO
FITTER-PRISMA,0004106RPM,FUNDA FITTER UNIVERASAL ASIENTO DELANTERO MONJA,UNIDADES,1,90750,103000,144200,60500,FUNDAS,NINGUNO
FITTER-UNIVERSAL,0005239RPM,"FUNDA FITTER UNIVERSAK SIMIL CUERO (ASIENTO ENTERO, RESPALDO REPARTIDO)",UNIDADES,1,96800,105000,147000,60500,FUNDAS,NINGUNO
3711,0007647RPM,FUNDA FITTER UNIVERSAL CUERO CON RIÑONERA NEGRA,UNIDADES,0,"135226,58",153500,"214900,01","90151,05",ACCESORIOS,NINGUNO
3908,0007648RPM,FUNDA FITTER UNIVERSAL CUERO CON RIÑONERA NEGRA C/ GRIS,UNIDADES,0,"135589,58",153500,"214900,01","90393,05",ACCESORIOS,NINGUNO
FITTER-2BUTACAS GT,0006046RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO 2 BUTACAS GRIS TOPO,UNIDADES,0,"62291,2",67000,93800,38932,FUNDAS,NINGUNO
FITTER-2BUTACAS N,0006045RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO 2 BUTACAS NEGRO CON ROJO,UNIDADES,1,"62291,2",67000,93800,38932,FUNDAS,NINGUNO
FITTER-UNIVERSAL N,0005241RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO NEGRA,UNIDADES,0,94240,100000,140000,58900,FUNDAS,NINGUNO
FITTER-UNIVERSAL N/A,0005245RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO NEGRA CON AZUL,UNIDADES,0,94240,100000,140000,58900,FUNDAS,NINGUNO
FITTER-UNIVERSAL N/G,0005242RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO NEGRA CON GRIS PLATA,UNIDADES,0,94240,100000,140000,58900,FUNDAS,NINGUNO
FITTER-UNIVERSAL N/RJ,0005244RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO NEGRA CON ROJO,UNIDADES,2,94240,100000,140000,58900,FUNDAS,NINGUNO
FITTER-UNIVERSAL N/RS,0005401RPM,FUNDA FITTER UNIVERSAL SIMIL CUERO NEGRA CON ROSA,UNIDADES,1,94240,100000,140000,58900,FUNDAS,NINGUNO
GY-4336,0007829RPM,FUNDA GOOD YEAR UNIVERSAL SIMIL CUERO NEGRA CON GRIS,UNIDADES,1,"66595,98","73255,58","102557,81","44397,32",ACCESORIOS,NINGUNO
GY-2312,0007830RPM,FUNDA GOOD YEAR UNIVERSAL TELA NEGRA,UNIDADES,1,"62716,72",68000,95200,"39197,95",ACCESORIOS,NINGUNO
GY-2311,0007831RPM,FUNDA GOOD YEAR UNIVERSAL TELA NEGRA,UNIDADES,1,"62726,4",68000,95200,39204,ACCESORIOS,NINGUNO
GY-4339,0007828RPM,FUNDA GOOG YEAR UNIVERSAL SIMIL CUERO NEGRA COMBINADA CON TELA,UNIDADES,2,"108463,92",115000,161000,"69976,72",ACCESORIOS,NINGUNO
GY-4335,0007897RPM,FUNDA GOOG YEAR UNIVERSAL SIMIL CUERO NEGRA CON COSTURA GRIS,UNIDADES,2,"92283,98",100000,140000,"59538,05",ACCESORIOS,NINGUNO
GY-4331,0007898RPM,FUNDA GOOG YEAR UNIVERSAL SIMIL CUERO NEGRA CON GRIS,UNIDADES,2,"96323,8",105000,147000,"62144,39",ACCESORIOS,NINGUNO
IA-UNIVERSAL N/G,0004768RPM,FUNDA IA TUNING UNIVERSAL INSTALADA SIMIL CUERO NEGRA CON FRANJA GRIS,UNIDADES,1,3360,"7140,67","9996,94","925,65",FUNDAS,NINGUNO
NA-043N,0007087RPM,FUNDA IAEL UNIVERSAL SIMIL CUERO NEGRA,UNIDADES,0,54000,62000,86800,36000,ACCESORIOS,NINGUNO
NA-043NA,NA-043NA,FUNDA IAEL UNIVERSAL SIMIL CUERO NEGRA Y AZUL,UNIDADES,0,54000,62000,86800,36000,ACCESORIOS,NINGUNO
NA-043NG,NA-043NG,FUNDA IAEL UNIVERSAL SIMIL CUERO NEGRA Y GRIS,UNIDADES,0,54000,62000,86800,36000,ACCESORIOS,NINGUNO
NA-043NR,NA-043NR,FUNDA IAEL UNIVERSAL SIMIL CUERO NEGRA Y ROJA,UNIDADES,1,54000,62000,86800,36000,ACCESORIOS,NINGUNO
SC-VELVETNEG-6P,0004761RPM,FUNDA LYF TERCIOPELO 2 BUTACAS DELANTERA JUEGO X 6 PZAS,UNIDADES,0,"18058,04",27440,38416,4961,FUNDAS,NINGUNO
SC-VELVET BK,0000993RPM,FUNDA LYF TERCIOPELO NEGRO JUEGO X 10 PZAS,UNIDADES,5,"43399,99",46200,"60060,01",20000,FUNDAS,NINGUNO
PANA,0006405RPM,FUNDA PANA BORDO,UNIDADES,0,7980,8400,11760,"527,56",ACCESORIOS,NINGUNO
SG-019,0006920RPM,FUNDA PARA MATAFUEGO LARGO,UNIDADES,0,"8978,2",9700,13580,6413,ACCESORIOS,NINGUNO
SG-020,0006012RPM,FUNDA PARA MATAFUEGO PETISO,UNIDADES,0,11858,12700,"17779,99",8470,FUNDAS,NINGUNO
HONDA05,0007744RPM,FUNDA SILICONA 3 BOTONES LLAVE CRV CIVIC,UNIDADES,1,5200,6000,8400,2000,ACCESORIOS,NINGUNO
HONDA04,0007321RPM,FUNDA SILICONA 3 BOTONES LLAVE FIT CITY CIVIC,UNIDADES,9,5200,6000,8400,2000,ACCESORIOS,NINGUNO
HONDA03,7477,FUNDA SILICONA LLAVE HONDA CRV HRV,UNIDADES,2,5200,6000,8400,2000,ACCESORIOS,NINGUNO
PEUGEOT04,0007009RPM,FUNDA SILICONA LLAVES 206 207 307 PARTNER,UNIDADES,20,5200,6000,8400,2000,ACCESORIOS,NINGUNO
PEUGEOT01,0007007RPM,FUNDA SILICONA LLAVES 207 3008,UNIDADES,10,5200,6000,8400,2000,ACCESORIOS,NINGUNO
PEUGEOT03,0007006RPM,FUNDA SILICONA LLAVES 208,UNIDADES,20,5200,6000,8400,2000,ACCESORIOS,NINGUNO
PEUGEOT02,0007008RPM,FUNDA SILICONA LLAVES 307 408,UNIDADES,44,5200,6000,8400,2000,ACCESORIOS,NINGUNO
FIAT01,0006994RPM,FUNDA SILICONA LLAVES 500 DOBLO SIENA BRAVO PALIO MOBI,UNIDADES,15,5200,6000,8400,2000,ACCESORIOS,NINGUNO
AUDI01,0006990RPM,FUNDA SILICONA LLAVES A1 A3 A4 A5 A6 A7 TT Q3,UNIDADES,1,5200,6000,8400,2000,ACCESORIOS,NINGUNO
VOLK03,0007014RPM,FUNDA SILICONA LLAVES AMAROK SAVEIRO,UNIDADES,0,5200,6000,8400,2000,ACCESORIOS,NINGUNO
VOLK01,0007012RPM,FUNDA SILICONA LLAVES BORA VENTO GOLF,UNIDADES,1,5200,6000,8400,2000,ACCESORIOS,NINGUNO
VOLK07,0007011RPM,FUNDA SILICONA LLAVES BORA VENTO PASSAT SURAN AMAROK,UNIDADES,3,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CITROEN02,0006988RPM,FUNDA SILICONA LLAVES C3,UNIDADES,20,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CITROEN03,0006989RPM,FUNDA SILICONA LLAVES C3 C4 PICASSO BERLINGO,UNIDADES,22,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CITROEN01,0006987RPM,FUNDA SILICONA LLAVES C4 PICASSO GRAN PICASSO,UNIDADES,29,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CHEVRO06,0007001RPM,FUNDA SILICONA LLAVES CELTA ASTRA,UNIDADES,16,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CITROEN04,5612,FUNDA SILICONA LLAVES CITROEN C4 CELYSEE CACTUS C1-3,UNIDADES,0,5200,6000,8400,2000,ACCESORIOS,NINGUNO
RENAULT01,0007005RPM,FUNDA SILICONA LLAVES CLIO KANGOO SYMBOL,UNIDADES,22,5200,6000,8400,2000,ACCESORIOS,NINGUNO
TOYOTA01,0006992RPM,FUNDA SILICONA LLAVES COROLLA HILUX ETIOS SW4 RAV4,UNIDADES,7,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CHEVRO02,0006997RPM,FUNDA SILICONA LLAVES CORSA,UNIDADES,8,5200,6000,8400,2000,ACCESORIOS,NINGUNO
CHEVRO05,0006999RPM,FUNDA SILICONA LLAVES CRUZE TRACKER,UNIDADES,8,5200,6000,8400,2000,ACCESORIOS,NINGUNO
